,word,time
1552,von,2
1553,Trapp,1
1554,Fanny,2
1555,Brice,1
1556,They,559
1557,Sound,1
1558,Funny,6
1559,Girl,3
1560,somewhere,38
1561,subjects,10
1562,parasitic,1
1563,biographies,1
1564,played,23
1565,personality,20
1566,unexposed,1
1567,movies,10
1568,extensive,8
1569,TV,25
1570,interviews,8
1571,theory,36
1572,worlds,2
1573,except,34
1574,accounts,19
1575,terribly,4
1576,born,38
1577,Lubbock,2
1578,married,43
1579,nice,204
1580,Spanish,10
1581,girl,46
1582,plane,37
1583,crash,5
1584,1959,4
1585,counts,11
1586,rhythmically,2
1587,unusual,26
1588,fusion,5
1589,older,39
1590,western,16
1591,pioneering,3
1592,became,52
1593,instrumentation,2
1594,guitars,2
1595,drums,5
1596,lyrics,2
1597,prototype,3
1598,songwriters,1
1599,worldly,1
1600,Chuck,1
1601,Berry,5
1602,turn,65
1603,authentic,10
1604,picture,62
1605,teenage,6
1606,pleasures,1
1607,Eisenhower,1
1608,America,64
1609,Gon,6
1610,letter,41
1611,mail,1
1612,local,86
1613,deejay,1
1614,Or,59
1615,Cruising,1
1616,radio,15
1617,With,65
1618,place,199
1619,plausible,2
1620,emblems,1
1621,rebellion,5
1622,rate,76
1623,youthful,3
1624,hedonism,1
1625,regard,43
1626,same,224
1627,light,52
1628,mocking,1
1629,horribly,1
1630,nudging,1
1631,Hayriders,1
1632,sun,34
1633,goes,74
1634,Blue,3
1635,Ridge,2
1636,Mountain,5
1637,whistle,2
1638,your,453
1639,ear,9
1640,At,125
1641,surreal,1
1642,daftness,1
1643,contrast,22
1644,unrelievedly,1
1645,soupy,1
1646,tunes,1
1647,assume,11
1648,decorated,4
1649,innocent,23
1650,backporch,1
1651,spooners,1
1652,Stars,4
1653,shadows,3
1654,hear,61
1655,honey,3
1656,Cupid,3
1657,shot,27
1658,dart,3
1659,Not,101
1660,dramatically,5
1661,incidental,4
1662,punctuate,3
1663,1950s,6
1664,wrote,23
1665,assures,1
1666,gal,1
1667,ballads,1
1668,tell,149
1669,manage,17
1670,subtlety,2
1671,finales,1
1672,Acts,9
1673,effectively,8
1674,sort,157
1675,agreeably,1
1676,naff,1
1677,revival,8
1678,pass,29
1679,muster,3
1680,Capital,2
1681,Gold,11
1682,Hammersmith,9
1683,Palais,1
1684,singing,15
1685,Paul,41
1686,Hipp,1
1687,pretty,35
1688,dull,10
1689,numbers,56
1690,To,82
1691,camouflage,3
1692,failures,1
1693,Andy,10
1694,Walmsley,1
1695,created,22
1696,resembles,1
1697,roadside,1
1698,hoardings,2
1699,Oldsmobile,1
1700,Van,3
1701,Heusen,1
1702,shirts,3
1703,Texaco,5
1704,Premium,1
1705,Type,1
1706,Rob,7
1707,Bettinson,1
1708,director,43
1709,deduced,1
1710,ought,40
1711,images,3
1712,plus,14
1713,commercials,1
1714,midwestern,1
1715,hops,1
1716,manufactured,7
1717,commercial,25
1718,Winnie,1
1719,High,20
1720,Society,17
1721,name,105
1722,predecessors,2
1723,probably,167
1724,fail,12
1725,career,30
1726,exploring,3
1727,Texan,1
1728,Was,23
1729,true,75
1730,chart,3
1731,Heartbeat,1
1732,release,12
1733,suggests,38
1734,wane,2
1735,move,79
1736,final,61
1737,musicians,8
1738,Waylon,1
